"","Y","M","D","Prec"
"11317",1950,12,25,2.10000003129244
"11318",1950,12,26,0
"11319",1950,12,27,0
"11320",1950,12,28,0
"11321",1950,12,29,0
"11322",1950,12,30,0
"11323",1950,12,31,0
"11324",1951,1,1,0
"11325",1951,1,2,0
"11326",1951,1,3,1.70000002533197
"11327",1951,1,4,0
"11328",1951,1,5,1.00000001490116
"11329",1951,1,6,0
"11330",1951,1,7,2.20000003278255
"11331",1951,1,8,1.90000002831221
"11332",1951,1,9,0.800000011920929
"11333",1951,1,10,0
"11334",1951,1,11,0
"11335",1951,1,12,0
"11336",1951,1,13,1.40000002086163
"11337",1951,1,14,0
"11338",1951,1,15,3.80000005662441
"11339",1951,1,16,1.30000001937151
"11340",1951,1,17,1.30000001937151
"11341",1951,1,18,3.20000004768372
"11342",1951,1,19,5.00000007450581
"11343",1951,1,20,2.40000003576279
"11344",1951,1,21,0
"11345",1951,1,22,0
"11346",1951,1,23,0
"11347",1951,1,24,0
"11348",1951,1,25,0
"11349",1951,1,26,0
"11350",1951,1,27,1.10000001639128
"11351",1951,1,28,0
"11352",1951,1,29,0
"11353",1951,1,30,0
"11354",1951,1,31,0
"11355",1951,2,1,0
"11356",1951,2,2,0
"11357",1951,2,3,0
"11358",1951,2,4,0
"11359",1951,2,5,0
"11360",1951,2,6,0
"11361",1951,2,7,0
"11362",1951,2,8,0
"11363",1951,2,9,0
"11364",1951,2,10,0
"11365",1951,2,11,0
"11366",1951,2,12,0
"11367",1951,2,13,0
"11368",1951,2,14,3.60000005364418
"11369",1951,2,15,1.40000002086163
"11370",1951,2,16,0
"11371",1951,2,17,0.700000010430813
"11372",1951,2,18,4.20000006258488
"11373",1951,2,19,0
"11374",1951,2,20,1.30000001937151
"11375",1951,2,21,0
"11376",1951,2,22,0
"11377",1951,2,23,0
"11378",1951,2,24,0
"11379",1951,2,25,6.10000009089708
"11380",1951,2,26,3.90000005811453
"11381",1951,2,27,4.10000006109476
"11382",1951,2,28,0
"11383",1951,3,1,0
"11384",1951,3,2,0
"11385",1951,3,3,0
"11386",1951,3,4,0
"11387",1951,3,5,2.5000000372529
"11388",1951,3,6,0
"11389",1951,3,7,0
"11390",1951,3,8,0
"11391",1951,3,9,0
"11392",1951,3,10,0
"11393",1951,3,11,0
"11394",1951,3,12,0
"11395",1951,3,13,0
"11396",1951,3,14,0
"11397",1951,3,15,0
"11398",1951,3,16,0
"11399",1951,3,17,0
"11400",1951,3,18,0
"11401",1951,3,19,0
"11402",1951,3,20,0
"11403",1951,3,21,0
"11404",1951,3,22,1.60000002384186
"11405",1951,3,23,9.9000001475215
"11406",1951,3,24,0
"11407",1951,3,25,0
"11408",1951,3,26,0
"11409",1951,3,27,0.800000011920929
"11410",1951,3,28,1.20000001788139
"11411",1951,3,29,0
"11412",1951,3,30,0
"11413",1951,3,31,4.90000007301569
"11414",1951,4,1,20.9000003114343
"11415",1951,4,2,7.60000011324883
"11416",1951,4,3,0
"11417",1951,4,4,0
"11418",1951,4,5,0
"11419",1951,4,6,0
"11420",1951,4,7,0
"11421",1951,4,8,0
"11422",1951,4,9,2.60000003874302
"11423",1951,4,10,0
"11424",1951,4,11,0
"11425",1951,4,12,0
"11426",1951,4,13,0
"11427",1951,4,14,0
"11428",1951,4,15,0
"11429",1951,4,16,0
"11430",1951,4,17,0
"11431",1951,4,18,0
"11432",1951,4,19,7.50000011175871
"11433",1951,4,20,0
"11434",1951,4,21,3.90000005811453
"11435",1951,4,22,0
"11436",1951,4,23,0
"11437",1951,4,24,0
"11438",1951,4,25,0
"11439",1951,4,26,0
"11440",1951,4,27,0
"11441",1951,4,28,0
"11442",1951,4,29,4.80000007152557
"11443",1951,4,30,0
"11444",1951,5,1,0
"11445",1951,5,2,0
"11446",1951,5,3,0
"11447",1951,5,4,0
"11448",1951,5,5,11.8000001758337
"11449",1951,5,6,9.3000001385808
"11450",1951,5,7,0
"11451",1951,5,8,7.70000011473894
"11452",1951,5,9,5.20000007748604
"11453",1951,5,10,0
"11454",1951,5,11,0
"11455",1951,5,12,0
"11456",1951,5,13,0
"11457",1951,5,14,1.70000002533197
"11458",1951,5,15,2.00000002980232
"11459",1951,5,16,3.7000000551343
"11460",1951,5,17,4.10000006109476
"11461",1951,5,18,0
"11462",1951,5,19,0
"11463",1951,5,20,0
"11464",1951,5,21,4.70000007003546
"11465",1951,5,22,0
"11466",1951,5,23,0
"11467",1951,5,24,0
"11468",1951,5,25,0
"11469",1951,5,26,0
"11470",1951,5,27,0
"11471",1951,5,28,0
"11472",1951,5,29,0
"11473",1951,5,30,0
"11474",1951,5,31,0
"11475",1951,6,1,0
"11476",1951,6,2,0
"11477",1951,6,3,0
"11478",1951,6,4,0
"11479",1951,6,5,0
"11480",1951,6,6,0
"11481",1951,6,7,0
"11482",1951,6,8,0
"11483",1951,6,9,0
"11484",1951,6,10,6.30000009387732
"11485",1951,6,11,0
"11486",1951,6,12,0
"11487",1951,6,13,0
"11488",1951,6,14,0
"11489",1951,6,15,0
"11490",1951,6,16,0
"11491",1951,6,17,0
"11492",1951,6,18,0
"11493",1951,6,19,0
"11494",1951,6,20,0
"11495",1951,6,21,0
"11496",1951,6,22,0
"11497",1951,6,23,0
"11498",1951,6,24,2.90000004321337
"11499",1951,6,25,10.4000001549721
"11500",1951,6,26,0
"11501",1951,6,27,0
"11502",1951,6,28,0
"11503",1951,6,29,0
"11504",1951,6,30,0
"11505",1951,7,1,0
"11506",1951,7,2,0
"11507",1951,7,3,0
"11508",1951,7,4,5.80000008642673
"11509",1951,7,5,0
"11510",1951,7,6,0
"11511",1951,7,7,0
"11512",1951,7,8,0
"11513",1951,7,9,3.30000004917383
"11514",1951,7,10,0
"11515",1951,7,11,0
"11516",1951,7,12,0
"11517",1951,7,13,0
"11518",1951,7,14,5.80000008642673
"11519",1951,7,15,0
"11520",1951,7,16,0
"11521",1951,7,17,0
"11522",1951,7,18,0
"11523",1951,7,19,0
"11524",1951,7,20,13.0000001937151
"11525",1951,7,21,3.50000005215406
"11526",1951,7,22,0
"11527",1951,7,23,0
"11528",1951,7,24,2.40000003576279
"11529",1951,7,25,16.0000002384186
"11530",1951,7,26,2.40000003576279
"11531",1951,7,27,0
"11532",1951,7,28,0
"11533",1951,7,29,0
"11534",1951,7,30,0
"11535",1951,7,31,0
"11536",1951,8,1,0
"11537",1951,8,2,0
"11538",1951,8,3,0
"11539",1951,8,4,0
"11540",1951,8,5,1.80000002682209
"11541",1951,8,6,15.1000002250075
"11542",1951,8,7,0
"11543",1951,8,8,0
"11544",1951,8,9,13.9000002071261
"11545",1951,8,10,0
"11546",1951,8,11,0
"11547",1951,8,12,0
"11548",1951,8,13,0
"11549",1951,8,14,7.70000011473894
"11550",1951,8,15,0
"11551",1951,8,16,0
"11552",1951,8,17,3.40000005066395
"11553",1951,8,18,0
"11554",1951,8,19,0
"11555",1951,8,20,0
"11556",1951,8,21,0
"11557",1951,8,22,0
"11558",1951,8,23,0
"11559",1951,8,24,0
"11560",1951,8,25,0
"11561",1951,8,26,0
"11562",1951,8,27,0
"11563",1951,8,28,0
"11564",1951,8,29,0
"11565",1951,8,30,0
"11566",1951,8,31,0
"11567",1951,9,1,0
"11568",1951,9,2,0
"11569",1951,9,3,0
"11570",1951,9,4,0
"11571",1951,9,5,0
"11572",1951,9,6,0
"11573",1951,9,7,0
"11574",1951,9,8,0
"11575",1951,9,9,0
"11576",1951,9,10,0
"11577",1951,9,11,0
"11578",1951,9,12,0
"11579",1951,9,13,0
"11580",1951,9,14,0
"11581",1951,9,15,0
"11582",1951,9,16,0
"11583",1951,9,17,0
"11584",1951,9,18,0
"11585",1951,9,19,0
"11586",1951,9,20,0
"11587",1951,9,21,0
"11588",1951,9,22,0
"11589",1951,9,23,0
"11590",1951,9,24,0.700000010430813
"11591",1951,9,25,0
"11592",1951,9,26,0
"11593",1951,9,27,0
"11594",1951,9,28,0
"11595",1951,9,29,0
"11596",1951,9,30,0
"11597",1951,10,1,0
"11598",1951,10,2,0
"11599",1951,10,3,0
"11600",1951,10,4,0
"11601",1951,10,5,0
"11602",1951,10,6,0
"11603",1951,10,7,0
"11604",1951,10,8,0
"11605",1951,10,9,0
"11606",1951,10,10,0
"11607",1951,10,11,0
"11608",1951,10,12,0
"11609",1951,10,13,0
"11610",1951,10,14,0
"11611",1951,10,15,0
"11612",1951,10,16,0
"11613",1951,10,17,0
"11614",1951,10,18,0
"11615",1951,10,19,0
"11616",1951,10,20,0
"11617",1951,10,21,0
"11618",1951,10,22,0
"11619",1951,10,23,0
"11620",1951,10,24,0
"11621",1951,10,25,0
"11622",1951,10,26,0
"11623",1951,10,27,0
"11624",1951,10,28,0
"11625",1951,10,29,0
"11626",1951,10,30,0
"11627",1951,10,31,0
"11628",1951,11,1,0
"11629",1951,11,2,2.40000003576279
"11630",1951,11,3,0
"11631",1951,11,4,2.5000000372529
"11632",1951,11,5,0
"11633",1951,11,6,0
"11634",1951,11,7,0
"11635",1951,11,8,0
"11636",1951,11,9,0
"11637",1951,11,10,0
"11638",1951,11,11,0
"11639",1951,11,12,1.90000002831221
"11640",1951,11,13,0
"11641",1951,11,14,1.20000001788139
"11642",1951,11,15,0.800000011920929
"11643",1951,11,16,0.700000010430813
"11644",1951,11,17,0
"11645",1951,11,18,0
"11646",1951,11,19,0
"11647",1951,11,20,0
"11648",1951,11,21,0
"11649",1951,11,22,1.60000002384186
"11650",1951,11,23,1.50000002235174
"11651",1951,11,24,0
"11652",1951,11,25,2.20000003278255
"11653",1951,11,26,0
"11654",1951,11,27,0.600000008940697
"11655",1951,11,28,1.60000002384186
"11656",1951,11,29,1.60000002384186
"11657",1951,11,30,1.40000002086163
"11658",1951,12,1,0
"11659",1951,12,2,0
"11660",1951,12,3,0
"11661",1951,12,4,3.50000005215406
"11662",1951,12,5,0
"11663",1951,12,6,0
"11664",1951,12,7,0
"11665",1951,12,8,0
"11666",1951,12,9,0
"11667",1951,12,10,0
"11668",1951,12,11,0
"11669",1951,12,12,2.30000003427267
"11670",1951,12,13,1.70000002533197
"11671",1951,12,14,0
"11672",1951,12,15,0.500000007450581
"11673",1951,12,16,4.70000007003546
"11674",1951,12,17,0
"11675",1951,12,18,0
"11676",1951,12,19,0
"11677",1951,12,20,0
"11678",1951,12,21,0
"11679",1951,12,22,0
"11680",1951,12,23,0
"11681",1951,12,24,0
"11682",1951,12,25,0
"11683",1951,12,26,0
"11684",1951,12,27,1.50000002235174
"11685",1951,12,28,2.00000002980232
"11686",1951,12,29,0
"11687",1951,12,30,0
"11688",1951,12,31,0
"11689",1952,1,1,1.90000002831221
"11690",1952,1,2,0
"11691",1952,1,3,0
"11692",1952,1,4,0
"11693",1952,1,5,0
"11694",1952,1,6,0
"11695",1952,1,7,0
"11696",1952,1,8,0
"11697",1952,1,9,0
"11698",1952,1,10,0
"11699",1952,1,11,2.00000002980232
"11700",1952,1,12,0
"11701",1952,1,13,0
"11702",1952,1,14,0.900000013411045
"11703",1952,1,15,0
"11704",1952,1,16,1.70000002533197
"11705",1952,1,17,0
"11706",1952,1,18,3.30000004917383
"11707",1952,1,19,1.20000001788139
"11708",1952,1,20,3.80000005662441
"11709",1952,1,21,0
"11710",1952,1,22,0
"11711",1952,1,23,0
"11712",1952,1,24,0
"11713",1952,1,25,0
"11714",1952,1,26,4.60000006854534
"11715",1952,1,27,0
"11716",1952,1,28,5.00000007450581
"11717",1952,1,29,0
"11718",1952,1,30,0
"11719",1952,1,31,0
"11720",1952,2,1,3.60000005364418
"11721",1952,2,2,5.50000008195639
"11722",1952,2,3,0
"11723",1952,2,4,2.80000004172325
"11724",1952,2,5,0
"11725",1952,2,6,0
"11726",1952,2,7,0
"11727",1952,2,8,1.40000002086163
"11728",1952,2,9,0
"11729",1952,2,10,0
"11730",1952,2,11,0
"11731",1952,2,12,0
"11732",1952,2,13,0
"11733",1952,2,14,3.1000000461936
"11734",1952,2,15,6.00000008940697
"11735",1952,2,16,1.60000002384186
"11736",1952,2,17,0
"11737",1952,2,18,2.00000002980232
"11738",1952,2,19,1.70000002533197
"11739",1952,2,20,0
"11740",1952,2,21,4.60000006854534
"11741",1952,2,22,10.0000001490116
"11742",1952,2,23,2.30000003427267
"11743",1952,2,24,0
"11744",1952,2,25,0
"11745",1952,2,26,2.00000002980232
"11746",1952,2,27,0
"11747",1952,2,28,0
"11748",1952,2,29,0
"11749",1952,3,1,2.70000004023314
"11750",1952,3,2,0
"11751",1952,3,3,0
"11752",1952,3,4,0
"11753",1952,3,5,0
"11754",1952,3,6,0
"11755",1952,3,7,0
"11756",1952,3,8,0
"11757",1952,3,9,0
"11758",1952,3,10,0
"11759",1952,3,11,0
"11760",1952,3,12,0
"11761",1952,3,13,1.40000002086163
"11762",1952,3,14,0
"11763",1952,3,15,0
"11764",1952,3,16,0
"11765",1952,3,17,0
"11766",1952,3,18,0
"11767",1952,3,19,0
"11768",1952,3,20,0
"11769",1952,3,21,0
"11770",1952,3,22,1.20000001788139
"11771",1952,3,23,0
"11772",1952,3,24,0
"11773",1952,3,25,0
"11774",1952,3,26,0
"11775",1952,3,27,0
"11776",1952,3,28,0
"11777",1952,3,29,2.40000003576279
"11778",1952,3,30,0
"11779",1952,3,31,0
"11780",1952,4,1,5.10000007599592
"11781",1952,4,2,0
"11782",1952,4,3,0
"11783",1952,4,4,0
"11784",1952,4,5,0
"11785",1952,4,6,0
"11786",1952,4,7,0
"11787",1952,4,8,0
"11788",1952,4,9,3.00000004470348
"11789",1952,4,10,0
"11790",1952,4,11,0
"11791",1952,4,12,0
"11792",1952,4,13,0
"11793",1952,4,14,0
"11794",1952,4,15,0
"11795",1952,4,16,0
"11796",1952,4,17,0
"11797",1952,4,18,0
"11798",1952,4,19,0
"11799",1952,4,20,0
"11800",1952,4,21,0
"11801",1952,4,22,0
"11802",1952,4,23,0
"11803",1952,4,24,1.80000002682209
"11804",1952,4,25,1.80000002682209
"11805",1952,4,26,2.30000003427267
"11806",1952,4,27,1.40000002086163
"11807",1952,4,28,0
"11808",1952,4,29,8.60000012814999
"11809",1952,4,30,0
"11810",1952,5,1,0.900000013411045
"11811",1952,5,2,0
"11812",1952,5,3,0
"11813",1952,5,4,0
"11814",1952,5,5,0
"11815",1952,5,6,0
"11816",1952,5,7,12.4000001847744
"11817",1952,5,8,0
"11818",1952,5,9,0
"11819",1952,5,10,0
"11820",1952,5,11,0
"11821",1952,5,12,1.30000001937151
"11822",1952,5,13,3.60000005364418
"11823",1952,5,14,0
"11824",1952,5,15,3.00000004470348
"11825",1952,5,16,0
"11826",1952,5,17,0
"11827",1952,5,18,12.8000001907349
"11828",1952,5,19,5.90000008791685
"11829",1952,5,20,8.80000013113022
"11830",1952,5,21,0
"11831",1952,5,22,0
"11832",1952,5,23,0
"11833",1952,5,24,0
"11834",1952,5,25,0
"11835",1952,5,26,5.70000008493662
"11836",1952,5,27,3.80000005662441
"11837",1952,5,28,0
"11838",1952,5,29,4.40000006556511
"11839",1952,5,30,0
"11840",1952,5,31,0
"11841",1952,6,1,0
"11842",1952,6,2,0
"11843",1952,6,3,6.70000009983778
"11844",1952,6,4,0
"11845",1952,6,5,0
"11846",1952,6,6,0
"11847",1952,6,7,10.4000001549721
"11848",1952,6,8,0
"11849",1952,6,9,0.600000008940697
"11850",1952,6,10,2.60000003874302
"11851",1952,6,11,6.50000009685755
"11852",1952,6,12,0
"11853",1952,6,13,1.30000001937151
"11854",1952,6,14,7.70000011473894
"11855",1952,6,15,1.70000002533197
"11856",1952,6,16,4.20000006258488
"11857",1952,6,17,0
"11858",1952,6,18,6.10000009089708
"11859",1952,6,19,1.10000001639128
"11860",1952,6,20,3.60000005364418
"11861",1952,6,21,0
"11862",1952,6,22,0.800000011920929
"11863",1952,6,23,6.60000009834766
"11864",1952,6,24,0
"11865",1952,6,25,0
"11866",1952,6,26,0
"11867",1952,6,27,0
"11868",1952,6,28,0
"11869",1952,6,29,0
"11870",1952,6,30,0
"11871",1952,7,1,0
"11872",1952,7,2,0
"11873",1952,7,3,0
"11874",1952,7,4,0
"11875",1952,7,5,0
"11876",1952,7,6,0
"11877",1952,7,7,0
"11878",1952,7,8,0
"11879",1952,7,9,0
"11880",1952,7,10,0
"11881",1952,7,11,0
"11882",1952,7,12,0
"11883",1952,7,13,0
"11884",1952,7,14,0
"11885",1952,7,15,4.10000006109476
"11886",1952,7,16,0
"11887",1952,7,17,0
"11888",1952,7,18,5.50000008195639
"11889",1952,7,19,2.20000003278255
"11890",1952,7,20,2.70000004023314
"11891",1952,7,21,0
"11892",1952,7,22,0
"11893",1952,7,23,0
"11894",1952,7,24,0
"11895",1952,7,25,0
"11896",1952,7,26,0
"11897",1952,7,27,6.60000009834766
"11898",1952,7,28,0
"11899",1952,7,29,9.00000013411045
"11900",1952,7,30,0
"11901",1952,7,31,0
"11902",1952,8,1,0
"11903",1952,8,2,0
"11904",1952,8,3,0
"11905",1952,8,4,0.900000013411045
"11906",1952,8,5,0
"11907",1952,8,6,0
